DECADE,YEAR,TITLE,PRIMARYCATEGORY,DESCRIPTION,SOURCE,IMAGE,radius
2010s,2014,Normcore,Fashion / Retail,,,http://cdn.papermag.com/uploaded_images/Screen%20Shot%202014-02-28%20at%205.55.15%20PM.png,15
2000s,2008,Obama: Change,Politics,,,https://upload.wikimedia.org/wikipedia/en/5/55/Barack_Obama_Hope_poster.jpg,15
2010s,2012,Occulus Rift,Tech,,,http://cdn.zmescience.com/wp-content/uploads/2015/04/The-Oculus-Rift-headset-i-012.jpg,15
1990s,1990,Pretty Woman,Film,,,http://cdn.traileraddict.com/content/touchstone-pictures/prettywoman.jpg,15
1990s,1997,Princess Diana Tradgedy,Event,,,http://www.snakkle.com/wp-content/uploads/2012/08/princess-diana-portrait-1980s-photo-GC.jpg,15
1990s,1994,Pulp Fiction,Film,,,http://www.incine.fr/media/photos_films/original/14623_4bc90b50017a3c57fe003f06_1293119937.jpg,15
1980s,1984,Purple Rain,Music,"Prince's 6th album was his most successful to that point, demonstratting a brand new inspirational crossover of R&B and funk with rock & roll.",https://en.wikipedia.org/wiki/Prince_(musician),http://ecx.images-amazon.com/images/I/81CzfbO4CrL._SL1425_.jpg,15
1980s,1986,"Run DMC "My Adidas",Fashion / Retail,"This Run DMC song and subsequent "Together Forever" tour photography signified a new marriage of hip hop culture and fashion. Until they sported streetwear with ostentacious accessories, hip hop style still rocked Afro and glam leftover looks from the late 70s.",http://www.businessoffashion.com/articles/video/run-d-m-c-s-adidas-birth-hip-hop-sneaker-culture,http://cdn.businessoffashion.com/wp-content/uploads/2014/07/Rickypowell_blog.jpg,15
2010s,2014,Samsung Selfie,Event,"At the 2014 Oscars, Samsung worked with Oscar host Ellen Degeneres to deliver subtle, clever, real-time marketing with a group selfie of the world's most loved Holly wood stars.",http://www.wsj.com/articles/SB10001424052702304585004579417533278962674,http://ell.akamai.coub.com/get/b1/p/coub/simple/cw_timeline_pic/d0c0a43fe75/f453315009bea2b65e84f/big_1411094981_1393949223_image.jpg,15
2010s,2015,Sia,Icons,"Hyper-talented Australian pop singer continually creates global #1's yet is terrified of performing and the public eye. During a time when everyone clamors to get in front of a camera, Sia takes refuge behind physical shields -- wigs, glasses, even actors in her stead. Even during her performance on The Voice, a show about the making of pop stars.",http://www.nytimes.com/2014/04/20/magazine/sia-furler-the-socially-phobic-pop-star.html?_r=0,http://ichef.bbci.co.uk/images/ic/1200x675/p02mzmf2.jpg,15
2000s,2008,Slumdog Millionaire,Film,,,http://www.impawards.com/2008/posters/slumdog_millionaire.jpg,15
1990s,1997,South Park,TV,,,http://ia.media-imdb.com/images/M/MV5BMzcwNjMzMDY0OF5BMl5BanBnXkFtZTcwODI1MDY1OA@@._V1_SX640_SY720_.jpg,15
1990s,1994,Spice Girls,Music,,,http://www.bob937.com/Pics/Logos/1994/1994_spice_girls.jpg,15
2010s,2015,Target's Open House,Tech,"An unexpected and well-received brand statement, Target created a digital experience in its San Francisco City store to demonstrate a connected home in action. Rumored to excite visitors about the future as well as show its approaching feasibility. This move both elevates its partners and products, as well as positions Target as a technology-led, innovation company.",http://recode.net/2015/07/09/inside-targets-new-tech-funhouse-and-search-for-its-next-billion-dollar-business/,http://openhouse.target.com/images/bg-social_mobile.jpg,15
2010s,2011,The Arab Spring,Social Movements,"The Arab Spring marked the first time in history that social media played a powerful role in politics. Leveraged by peaceful protestors in Egypt, Twitter and Facebook actively amassed awareness and support of anti-government protestors. Not only did its unification powers lead to the resignation of President Mubarak, it helped turn the world's attention to the conflict and endeared supporters to the protestors.",http://www.fastcompany.com/1727466/exactly-what-role-did-social-media-play-egyptian-revolution,https://awakeningofegypt.files.wordpress.com/2011/02/hisham-k-facebook-twitter.jpg,15
2010s,2010,The Artist is Present,Art,"Marina Abramovic, the most profound and widely known performance artist, sat in the Atrium of New York's MOMA for a total of 700 hours in silence. Any museum visitor was invited to sit across from her, also in silence. She garnered a wide and varied audience, from celebrities like Bjork and Lady Gaga, to an ex-lover, to children. The popularity of the celebrities who came to see Marina seriously expanded the artist's audience.",http://www.nytimes.com/2010/05/31/arts/design/31diva.html,"https://upload.wikimedia.org/wikipedia/commons/2/28/Marina_Abramovi%C4%87,_The_Artist_Is_Present,_2010_(4422517086).jpg",15
2010s,2011,The Book of Mormon,Entertainment,"Created by the same world-renowned cartoon satirist duo who created South Park, Matt Stone described Book of Mormon as 'an athiest's love letter to religion'. The satirical Broadway musical tells the story of two naive missionaries trying to 'save' a Ugandan community that's more concerned about their wars and famine than anything else.",,http://blog.tickpick.com/wp-content/uploads/2013/10/logo.jpg,15
1980s,1985,The Breakfast Club,Film,,,http://static.rogerebert.com/uploads/movie/movie_poster/the-breakfast-club-1985/large_bxGl9YZrQscDGh69IxmTweY01X.jpg,15
2010s,2013,The Circle,Book,,,http://images.elephantjournal.com/wp-content/uploads/2013/10/circlecover.jpg,15
1980s,1980,The Clash: London Calling,Music,"America's first taste of The Clash, and the album that quickly earned them the title 'The only band that matters'. Their style introduced a new ability and perspective: To mix a diverse range of musical styles and influences.",,http://hostinga.imagecross.com/image-hosting-14/2105The-Clash---London-Calling---cover.jpg,15
2000s,2008,The Hedge Fund Myth,Politics,,,http://images.bwbx.io/cms/2013-07-10/BBW-HFMyth-Cover-29-wobarcode-7.15.jpg,15
1990s,1999,The Matrix,Film,,,http://ia.media-imdb.com/images/M/MV5BMTkxNDYxOTA4M15BMl5BanBnXkFtZTgwNTk0NzQxMTE@._V1_SX640_SY720_.jpg,15
1990s,1992,The Real World,TV,,,http://www.thewrap.com/sites/default/files/MTV%20Real%20World.jpg,15
